Skills (Competencies),Operational Definition,Potential Strength,Development Considerations,Behavioral Interview Question 1,Behavioral Interview Question 2
Exploring perspectives and alternatives,The ability to evaluate and work towards problems with an openness to experience and consideration towards different perspectives and alternatives.,"Considers the broader picture and the interconnectedness of things while evaluating alternatives. 
1. Understands that there can be multiple ways of getting things done right. 
2. Deliberately searches for new points of view and opinions while tackling problems. 
3. Has the flexibility to modify one's perspective based on new information or insights.","Often disregards alternative viewpoints without evaluating their potential value.
1. Tends to adhere to the predetermined way of resolving a problem, even in the face of appealing options. 
2. Is hesitant to participate in discussions that challenge one’s own beliefs and approaches.
3. Possesses a rudimentary grasp of the potential benefits and drawbacks linked to the presented options.","Share an instance when you changed your approach to a problem in light of a better alternative. 
1. What problem were you trying to solve? 
2. How did you learn about the better alternative? What made you decide to change the way you do things?
3. What was the outcome? What did you take away from this experience?","Provide an example of a time you explored and found multiple solutions to a problem.
1. What specific problem were you trying to resolve?
2. What inspired you to seek out alternate solutions? How did you assess the various solutions you discovered?
3. What did you finally decide? What did you learn from this experience?"
Fostering inclusiveness,"The act or practice of including and accommodating people irrespective of their race, gender, sexuality, or ability.","Actively promotes an environment in which people from diverse backgrounds can work collaboratively. 
1. Strives to provide equal opportunities for everyone to contribute during discussions.
2. Consistently practices self-reflection to gain understanding and rectify any biased behavior to promote collaboration. 
3. Maintains a courteous and deferential demeanor when interacting with people from various backgrounds.","May lack the motivation to actively foster an inclusive environment for all people despite their backgrounds. 
1. Shows a limited understanding of the problems and issues experienced by people from different backgrounds. 
2. May occasionally tolerate behavior that encourages exclusion. 
3. Finds it challenging to reflect and pinpoint instances of prejudices or biases in one's behavior.","Describe a time when it was hard for you to get a group of different people to work together.
1. What were some of the differences that existed within the group? 
2. What steps did you take to try to bring the group together? What was the outcome? 
3. What did you learn about bringing together different groups of people from this?","Tell us about a time when you successfully adapted to a different culture.
1. What cultural difference did you face? How did this new culture challenge you? 
2. How did you deal with the cultural differences? What steps did you take to accept the new culture? 
3. What was the outcome? What did you take away from this experience?"
Grit and persistence,The ability to demonstrate passion and perseverance for long-term meaningful goals and work towards overcoming any challenges in the process.,"Tenaciously pursues long-term objectives while under pressure, even when the alternatives seem more appealing.
1. Maintains focus, exerts consistent effort, and takes calculated risks to attain long-term goals.
2. Proactively removes obstacles and adjusts one's approach periodically to achieve one's long-term goals. 
3. Continuously pushes forward by bouncing back quickly from setbacks and not giving up easily.","Finds it difficult to maintain one's motivation to achieve long-term goals, specifically in the face of obstacles or setbacks. 
1. Experiences difficulty establishing contingency measures and adapting one's approach when met with challenges. 
2. Exhibits a tendency to give up on tasks as a result of focusing on negative experiences.
3. Has difficulty recovering from setbacks as a result of getting easily discouraged.","Describe one of your long-term goals and the steps you have taken so far to achieve it.
1. Why is this goal important for you?
2. What are some of the hurdles you have had to overcome so far? 
3. Are there chances of you swaying from this goal? Why or why not?","When was the last time circumstances made you forsake a long-term goal?
1. What was the long-term goal?
2. Why did you abandon the long-term goal? Did you consider any alternatives before forsaking the long-term goal? 
3. Do you believe it was the right decision? Why do you think so?"
Instilling Trust,"The intent is to gain the confidence and trust of others through honesty, integrity, and authenticity.","Has earned the credibility and trust of others by delivering on promises and meeting expectations on a consistent basis.
1. Ensures that one's actions and words are congruent to build trust with others. 
2. Makes decisions based on strong ethical convictions and consideration of the impact on others.
3. Conforms to moral and ethical standards and principles set by the organization.","May have less regard for others' perspectives that impacts trust in the process. 
1. Exhibits a disconnect between expressed values and actual behavior. 
2. Tends to be evasive, which in turn, invites others' skepticism. 
3. Struggles to deliver on one's promises and commitments on time.","Describe a time when your honesty and integrity helped you earn the trust of others.
1. What was the situation?
2. How did you ensure that your approach was honest? How did you handle the potential consequences? How did you demonstrate your honesty and integrity?
3. What have you gained from this experience?","Tell me about a time when you had to regain trust after a breakdown or mistake. 
1. How did you approach the situation, and what actions did you take to rebuild trust?
2. How did you take responsibility for the situation and acknowledge the impact it had on trust?
3. What indicators or feedback did you receive that indicated trust was being regained?"
Learnability,The ability to learn something new and apply learnings from one's experiences in new ways to adapt to situations.,"Regularly upskills and applies newly acquired knowledge at work to adapt to work situations. 
1. Pays adequate attention to the feedback received and finds ways to incorporate it into one's work. 
2. Tends to see setbacks as learning opportunities and uses those insights to improve one's productivity. 
3. Is resourceful and takes ownership of one's professional development.","Has a hard time taking responsibility for one's learning due to a limited understanding of one’s areas of improvement. 
1. Experiences difficulty recognizing clear and specific learning objectives that are pertinent to one's long-term career goals.
2. Has difficulty incorporating feedback and other insights into practice to improve one's skills and performance. 
3. Do not see a need to build a supportive learning network of industry experts and other resources related to one's area of work.","Tell us about a time when you needed to learn something new to complete a task.
1. What was the task? What new skill did you need to learn to complete it?
2. How did you approach it? Did you face any difficulties?
3. What have you gained from this experience?","When was the last time it was extremely challenging for you to learn new skills required for your job?
1. What was the skill in question? Why was it difficult to learn?
2. How did you approach the situation? What steps did you take? 
3. Did you succeed? What was the outcome?"
Motivating and inspiring others,"The ability to motivate and guide people to get the job done, and to bring out their best.","Creates an environment where team members feel valued and supported.
1. Acknowledges the efforts of others and provides recognition to bring out the best in others. 
2. Actively works with others to set meaningful goals to motivate them. 
3. Provides guidance, support, and challenging opportunities to team members to expand their skills, take on new responsibilities, and achieve their full potential.","Less oftent inspire or ignite enthusiasm in others, leading to a lack of motivation within the team or organization.
1. Finds difficulty in articulating goals, providing feedback, or conveying a sense of purpose, resulting in diminished motivation and inspiration.
2. May struggle establishing meaningful relationships, understanding individual needs, and building trust.
3. May overlook providing the necessary resources, guidance, or mentorship to help others grow and excel in their roles.","Tell us about a time you had to motivate your team through a series of setbacks. 
1. What was the nature of the setbacks? How did you motivate the team?
2. Did you offer any additional help or resources? Did you ask the team what they needed?
3. What was the team's response? What was the outcome? What could you have done better?","Describe a time when you inspired your team members to achieve a difficult goal.
1. What was your team's challenging goal? 
2. How did you motivate team members? How did you handle the obstacles and keep the team going?
3. What was the outcome? What did you take away from the experience?"
Negotiation and Persuasion,The ability to gain support and cooperation from others to achieve a desired course of action consistent with the organization’s strategic goals and objectives.,"Often asserts one's position with confidence while remaining open to other points of view.
1. Utilizes the arguments made by others to put together one's own convincing case.
2. Recognizes when to end negotiations and reach an agreement for the best results.
3. Maintains professionalism and composure even in difficult or high-stakes negotiations.","Finds it tough to articulate one’s position or proposals during negotiations. 
1. Tends to rely on emotional appeals or opinions rather than evidence-based arguments. 
2. Experiences difficulty establishing trust and rapport with others to lay the groundwork for successful negotiation. 
3. Displays rigidity and may find it tough to adapt to unforeseen challenges that arise during negotiations.","Describe a negotiation that did not go as you had hoped. 
1. What was the negotiation about, and who was involved? 
2. What problems did you face during this negotiation? How did you handle them?
3. What could you have done differently? What did you learn from this experience?","Describe a situation in which you had to negotiate with a challenging or resistant stakeholder.
1. What was the negotiation about? What did the stakeholders want? 
2. How did you approach the negotiations? What were the objections raised by the stakeholder? Did you consider any compromises? 
3. What was the outcome? What lessons did you learn from this?"
Openness to feedback,"The extent to which one is open to feedback from others, handles criticism in a positive and constructive manner, and focuses on improving one's performance based on the feedback.","Actively listens to feedback and seeks to understand the perspectives and insights shared. 
1. Seeks feedback that is specific and actionable and provides direction for improvement.
2. Takes the initiative to make improvements in response to feedback.
3. Acknowledges that feedback is a continuous process and routinely gathers feedback.","Is dismissive of the feedback received and views it as a threat. 
1. Frequently reacts strongly or impulsively to feedback without contemplating its validity. 
2. May reluctantly make selective changes or alterations based on feedback received.
3. Tends to avoid asking for feedback or the opinion of others to prevent potential critique.","Describe a time when you actively sought feedback to improve your performance. 
1. What drove you to seek feedback? How did you go about getting feedback?
2. What was the response you got? How did you respond to the feedback?
3. What did you learn from this experience?","Explain a situation where you took concrete steps to implement the feedback received.
1. Who provided the feedback, and what was it about?
2. How did you implement the feedback? Did you face any obstacles?
3. What was the outcome? Do you see feedback differently now?"
Organizational awareness,The ability to appreciate and use formal and informal relationships and structures for the benefit of the organization.,"Acknowledges the formal and informal organizational power structures, such as hierarchies and influential networks. 
1. Can identify the main decision-makers and their objectives and viewpoints within the organization. 
2. Actively seeks out and accumulates pertinent information about the organization, including competitive landscape and internal changes.
3. Manages internal conflicts and problems in a manner that maintains healthy working relationships.","Has difficulty navigating and leveraging the organization's formal and informal power structures. 
1. Finds it tough to develop networks of acquaintances within the organization.
2. May lack the motivation to maintain awareness of the organization's strategic objectives and priorities.
3. Finds it hard to keep up with changes in the organization which could result in missed opportunities.","Give an example of a time when you utilized an existing relationship to accomplish an organizational objective.
1. What was the goal you were trying to achieve?
2. What connection did you leverage? What kind of help did you ask for? How did you use the connection to achieve the goal?
3. What was the outcome? What did you take away from this experience?","Tell us about a work project you promoted using official and informal means.
1. What was the project? Why did it have to be promoted? 
2. What steps did you take to promote it? What challenges did you face during the promotion?
3. What was the outcome? If you were to do this again, would you change anything?"
Ownership and accountability,The sense of possession and responsibility for one's own actions and their impact.,"Assumes full responsibility for one's work and takes corrective actions whenever required. 
1. Has a track record of meeting deadlines and timely delivers on one's work commitments. 
2. Regularly complies with organizational policies and fosters a culture of ownership.
3. Focuses on finding solutions to problems rather than assigning blame.","May hesitate to embrace personal responsibility for one's actions due to a lack of commitment.
1. Rarely demonstrates a sense of urgency to complete tasks in a timely manner.
2. Tends to be defensive and may try to place the responsibility on others instead of taking corrective action. 
3. Has some difficulty recovering from setbacks, resulting in lost opportunities for personal development and growth.","Can you give an example of a time when you had to take accountability for a team's failure or underperformance? 
1. How did you handle the situation, and what actions did you take to address the issue?
2. How did you ensure that team members understood their individual roles and responsibilities in overcoming the failure or underperformance?
3.What were the outcomes or results of your efforts to rectify the situation? Did the team's performance improve, and if so, how was it measured?","Give an example of a time when you took responsibility for a setback at work.
1. What was the task? What was the mistake?
2. What pushed you to accept your mistake openly? What was the outcome?
3. What did you learn from this experience?"
